"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2024","110.4215","110.3242","110.4215","110.3242","","0.09%"
"09/01/2024","110.3242","110.3242","110.3242","110.3242","","0.15%"
"08/30/2024","110.1629","110.9500","110.9500","106.3108","","-0.01%"
"08/29/2024","110.1685","110.1513","111.0843","110.0757","","0.02%"
"08/28/2024","110.1513","111.3042","111.3042","110.1513","","-1.05%"
"08/27/2024","111.3210","113.6483","113.6483","111.2501","","0.28%"
"08/26/2024","111.0140","110.9495","111.0677","110.8958","","0.06%"
"08/23/2024","110.9495","109.2523","110.9495","109.0370","","1.55%"
"08/22/2024","109.2523","109.2523","109.2523","109.0000","","0.00%"
"08/21/2024","109.2523","109.0843","110.0000","109.0843","","0.15%"
"08/20/2024","109.0843","109.0843","109.0897","109.0316","","0.00%"
"08/19/2024","109.0843","109.4410","109.4410","109.0316","","-0.33%"
"08/16/2024","109.4410","109.4410","109.4410","109.4410","","0.00%"
"08/15/2024","109.4410","110.2596","110.6003","109.1003","","-0.74%"
"08/14/2024","110.2596","110.2596","110.2703","110.1513","","0.00%"
"08/13/2024","110.2596","103.6639","110.2705","103.6639","","6.32%"
"08/12/2024","103.7100","103.1196","106.3070","103.1196","","0.57%"
"08/09/2024","103.1196","106.7366","106.7366","103.0693","","2.20%"
"08/08/2024","100.8973","99.0820","100.9464","99.0330","","1.48%"
"08/07/2024","99.4288","99.1270","99.5004","99.0330","","5.82%"
"08/06/2024","93.9619","93.9619","93.9619","93.9619","","0.00%"
"08/05/2024","93.9619","80.4352","93.9619","80.4352","","16.72%"
"08/02/2024","80.5000","77.4030","80.9768","77.4030","","4.58%"
"08/01/2024","76.9729","79.7596","79.7596","77.2532","","-3.49%"
"07/31/2024","79.7596","75.4796","79.7596","75.4796","","5.67%"
"07/30/2024","75.4796","78.3697","78.3779","75.4055","","31.29%"
"07/29/2024","57.4895","57.8130","57.8130","57.8130","","0.00%"
"07/26/2024","57.4895","57.8102","57.8130","57.8102","","0.01%"
"07/25/2024","57.4838","57.8045","57.8131","57.7814","","0.02%"
"07/24/2024","57.4723","57.8018","57.8074","57.7407","","0.01%"
"07/23/2024","57.4671","57.7961","57.8018","57.7961","","0.02%"
"07/22/2024","57.4556","57.7933","57.7961","57.7500","","0.01%"
"07/19/2024","57.4499","57.7881","57.7933","57.6632","","0.02%"
"07/18/2024","57.4395","57.7855","57.7881","57.7000","","0.01%"
"07/17/2024","57.4344","57.7800","57.7855","57.7000","","0.02%"
"07/16/2024","57.4234","57.7775","57.7800","57.7775","","0.01%"
"07/15/2024","57.4183","57.7723","57.7775","57.7000","","0.02%"
"07/12/2024","57.4079","57.7694","57.7723","57.6900","","0.01%"
"07/11/2024","57.4022","57.7643","57.7723","57.6624","","0.02%"
"07/10/2024","57.3919","57.7617","57.7643","57.6800","","0.01%"
"07/09/2024","57.3867","57.7559","57.7617","57.7559","","0.02%"
"07/08/2024","57.3752","57.7533","57.7559","57.7533","","0.01%"
"07/05/2024","57.3701","57.7481","57.7533","57.6500","","0.02%"
"07/04/2024","57.3597","57.7453","57.7481","57.7453","","0.01%"
"07/03/2024","57.3540","57.7398","57.7482","57.3483","","0.02%"
"07/02/2024","57.3431","57.7373","57.7427","57.3429","","0.01%"
"07/01/2024","57.3380","57.7315","57.7402","57.6903","","0.02%"
"06/28/2024","57.3265","57.7264","57.7315","57.7189","","0.02%"
"06/27/2024","57.3162","57.7189","57.7293","57.6903","","0.03%"
"06/26/2024","57.3013","57.7141","57.7189","57.6000","","0.02%"
"06/25/2024","57.2915","57.7060","57.7169","57.5524","","-0.72%"
"06/24/2024","57.7060","57.7010","57.7089","57.5274","","0.01%"
"06/21/2024","57.7010","57.6932","57.7010","57.5500","","0.01%"
"06/20/2024","57.6932","57.6886","57.6961","57.5274","","0.01%"
"06/19/2024","57.6886","57.6797","57.6886","57.4789","","0.02%"
"06/18/2024","57.6797","57.6743","57.6797","57.4500","","0.01%"
"06/17/2024","57.6743","57.6657","57.6772","57.5250","","0.01%"
"06/14/2024","57.6657","57.6598","57.6657","57.5250","","0.01%"
"06/13/2024","57.6598","57.6508","57.6598","57.5000","","0.02%"
"06/12/2024","57.6508","57.6451","57.6508","57.4000","","0.01%"
"06/11/2024","57.6451","57.6366","57.6451","57.4000","","0.01%"
"06/10/2024","57.6366","57.5075","57.6366","57.4000","","0.90%"
"06/07/2024","57.1246","57.4986","57.5103","57.3838","","0.03%"
"06/06/2024","57.1069","57.4931","57.5015","57.3250","","0.02%"
"06/05/2024","57.0960","57.4846","57.4961","57.3500","","0.03%"
"06/04/2024","57.0789","57.4789","57.4846","57.3500","","0.02%"
"06/03/2024","57.0675","57.4703","57.4818","56.9138","","0.03%"
"05/31/2024","57.0504","57.4664","57.4733","57.3427","","0.01%"
"05/30/2024","57.0424","57.4644","57.4692","57.3407","","0.01%"
"05/29/2024","57.0384","57.4595","57.4673","57.0750","","-0.73%"
